Tensegrity Inverse Kinematics Results
Parameters:
Dimensionality, Timestamp, Nodes, Cables, Bars, Computation Method
2, 12-Dec-2018_14-18-30, 8, 4, 6, rigid body
Inputs: row = timestep and col = cable no.,Col > s = states,States are x y rot (per body)
2.5323,2.8075,-0.22809,-0.34904,0,0,0,0.0762,0,0
2.6247,2.7172,-0.35183,-0.22716,0,0,0,0.07619,-0.0020124,-0.010334
2.7174,2.6272,-0.47541,-0.10512,0,0,0,0.076158,-0.0040245,-0.020668
2.8105,2.5376,-0.59881,0.017067,0,0,0,0.076106,-0.0060363,-0.031003
2.9039,2.4483,-0.72204,0.1394,0,0,0,0.076034,-0.0080473,-0.041337
2.9976,2.3594,-0.84509,0.26186,0,0,0,0.07594,-0.010058,-0.051671
3.0917,2.2708,-0.96796,0.38445,0,0,0,0.075826,-0.012067,-0.062005
3.1861,2.1826,-1.0906,0.50715,0,0,0,0.075691,-0.014075,-0.072339
3.2809,2.0947,-1.2131,0.62995,0,0,0,0.075535,-0.016081,-0.082673
3.376,2.0072,-1.3354,0.75284,0,0,0,0.075358,-0.018086,-0.093008
3.4714,1.92,-1.4575,0.87581,0,0,0,0.075161,-0.020088,-0.10334
3.5671,1.8332,-1.5794,0.99885,0,0,0,0.074943,-0.022089,-0.11368
3.6631,1.7468,-1.7011,1.1219,0,0,0,0.074705,-0.024087,-0.12401
3.7594,1.6607,-1.8225,1.2451,0,0,0,0.074445,-0.026083,-0.13434
3.8561,1.5749,-1.9438,1.3683,0,0,0,0.074165,-0.028076,-0.14468
3.953,1.4895,-2.0648,1.4914,0,0,0,0.073865,-0.030065,-0.15501
4.0503,1.4045,-2.1856,1.6146,0,0,0,0.073544,-0.032052,-0.16535
4.1478,1.3199,-2.3062,1.7378,0,0,0,0.073203,-0.034035,-0.17568
4.2456,1.2356,-2.4265,1.8609,0,0,0,0.072841,-0.036015,-0.18602
4.3438,1.1517,-2.5467,1.9841,0,0,0,0.072458,-0.037991,-0.19635
